R,Z,A_phi,Br,Bz
6.500000000000000222e-01,0.000000000000000000e+00,9.710110271693203621e-02,-2.145703427481379977e-05,3.453021242211701258e-02
6.499259840548596845e-01,4.711613861719243616e-03,9.709464475318087262e-02,-4.461711349338876118e-04,3.456026052703072005e-02
6.497040092642407672e-01,9.418577929397006429e-03,9.707281375473092444e-02,-8.587261413653695828e-04,3.460832387688087680e-02
6.493342946904619994e-01,1.411624699777714632e-02,9.704270771252672401e-02,-1.244082530613809055e-03,3.460421155453517056e-02
6.488172051971716758e-01,1.879998503464563875e-02,9.699799137421601103e-02,-1.631828037915515010e-03,3.462457057351726181e-02
6.481532510892706878e-01,2.346516975603462826e-02,9.693691318409700108e-02,-2.017375692220795946e-03,3.466697223156803287e-02
6.473430876093033692e-01,2.810719718785869084e-02,9.686635257317517678e-02,-2.437928912711241885e-03,3.470930124596034727e-02
6.463875142908120930e-01,3.272148620948137770e-02,9.678378947711031854e-02,-2.825121634944948931e-03,3.475899189045174309e-02
6.452874741692946614e-01,3.730348307472821506e-02,9.668324538347571051e-02,-3.261873958711612904e-03,3.484687265999344280e-02
6.440440528515414265e-01,4.184866590588438851e-02,9.656804678713457046e-02,-3.731948580875353149e-03,3.496867187117966291e-02
6.426584774442729575e-01,4.635254915624210936e-02,9.645057443568150202e-02,-4.230374938618101932e-03,3.509858359783014220e-02
6.411321153431337461e-01,5.081068803679370666e-02,9.631133979073434881e-02,-4.714396216992796165e-03,3.520772121667428700e-02
6.394664728832377687e-01,5.521868290270168927e-02,9.616372319575068606e-02,-5.152212336155477350e-03,3.529719410017736342e-02
6.376631938525971766e-01,5.957218359521709167e-02,9.600419916871096027e-02,-5.571875915446942648e-03,3.542332650699062807e-02
6.357240578699029365e-01,6.386689373476089893e-02,9.582375903841711118e-02,-5.962680290915868368e-03,3.557012564697024926e-02
6.336509786282551460e-01,6.809857496093200957e-02,9.563304305833776608e-02,-6.373745626962893165e-03,3.574670492599527072e-02
6.314460020065795209e-01,7.226305111525729852e-02,9.542714244974474791e-02,-6.797323499008280957e-03,3.594518334475867855e-02
6.291113040505915688e-01,7.635621236255570043e-02,9.521069893578405774e-02,-7.207559320901374585e-03,3.610680015222707262e-02
6.266491888253022946e-01,8.037401924684949017e-02,9.497449228083802708e-02,-7.698809230222474799e-03,3.631706747320505302e-02
6.240620861411843023e-01,8.431250667781958752e-02,9.473163830040329247e-02,-8.142746925663479213e-03,3.657555625618018336e-02
6.213525491562421621e-01,8.816778784387097057e-02,9.446231279669908831e-02,-8.569724943084507107e-03,3.680941294350815324e-02
6.185232518563535953e-01,9.193605804794646730e-02,9.418720216214479524e-02,-9.067601157758276714e-03,3.701933456652183735e-02
6.155769864163683769e-01,9.561359846230343962e-02,9.389612829367478819e-02,-9.561979997911685542e-03,3.726583753098725721e-02
6.125166604445688723e-01,9.919677979854776839e-02,9.359055170353890174e-02,-9.997187636119456849e-03,3.759890021012528283e-02
6.093452941132116996e-01,1.026820658893032867e-01,9.327009086485045508e-02,-1.046686491508178919e-02,3.787480325346608695e-02
6.060660171779821415e-01,1.060660171779821276e-01,9.292985163151951111e-02,-1.091370766814520055e-02,3.821598191685277729e-02
6.026820658893032867e-01,1.093452941132117273e-01,9.257531782713579460e-02,-1.133703488198800971e-02,3.860760275978195738e-02
5.991967797985477961e-01,1.125166604445689139e-01,9.220400067334259819e-02,-1.185354813011435006e-02,3.895504358634715308e-02
5.956135984623034396e-01,1.155769864163683769e-01,9.181495409018680665e-02,-1.232351216117853927e-02,3.933015017815406911e-02
5.919360580479464673e-01,1.185232518563535536e-01,9.141482399004112469e-02,-1.270398471783282073e-02,3.972583977983507042e-02
5.881677878438710261e-01,1.213525491562420927e-01,9.098795405863013830e-02,-1.316426604809006924e-02,4.022132065910440785e-02
5.843125066778196430e-01,1.240620861411842746e-01,9.055223072773935233e-02,-1.370474406931290051e-02,4.065160833282936703e-02
5.803740192468495041e-01,1.266491888253022668e-01,9.008801589620715755e-02,-1.415649961641651973e-02,4.104392864690264292e-02
5.763562123625556310e-01,1.291113040505915410e-01,8.961463574622284545e-02,-1.461831720669778956e-02,4.147799757065326332e-02
5.722630511152573263e-01,1.314460020065795487e-01,8.912281152798992578e-02,-1.495108641668549052e-02,4.203091698575171092e-02
5.680985749609319679e-01,1.336509786282551737e-01,8.861018808718497397e-02,-1.530495366323562055e-02,4.262281209919629998e-02
5.638668937347608434e-01,1.357240578699029365e-01,8.807876994377945856e-02,-1.565510421339954064e-02,4.318799782357304190e-02
5.595721835952170986e-01,1.376631938525971766e-01,8.752498241165534987e-02,-1.597025094684374064e-02,4.374689967847392863e-02
5.552186829027017101e-01,1.394664728832376854e-01,8.695345340293959835e-02,-1.625591414389744929e-02,4.431607536255557228e-02
5.508106880367936720e-01,1.411321153431338016e-01,8.636795024863118397e-02,-1.656056168545018067e-02,4.490840537082693013e-02
5.463525491562420955e-01,1.426584774442730130e-01,8.576131396201468193e-02,-1.695600582306856091e-02,4.557644508325951749e-02
5.418486659058844301e-01,1.440440528515414265e-01,8.513834582533369444e-02,-1.730777194944315908e-02,4.620326815302872037e-02
5.373034830747281942e-01,1.452874741692946614e-01,8.448942269768985880e-02,-1.759180660230770868e-02,4.688159619469377953e-02
5.327214862094814540e-01,1.463875142908120930e-01,8.383256058143431777e-02,-1.785246343910721137e-02,4.761536033504090715e-02
5.281071971878587012e-01,1.473430876093032860e-01,8.314940281817501111e-02,-1.800442525479429082e-02,4.827103176841111842e-02
5.234651697560346317e-01,1.481532510892706600e-01,8.245560412129669670e-02,-1.823180431819064126e-02,4.888130652059680115e-02
5.187999850346456387e-01,1.488172051971716481e-01,8.174006062746357049e-02,-1.848420873535798828e-02,4.952381488667408072e-02
5.141162469977771377e-01,1.493342946904619994e-01,8.101730764620096448e-02,-1.857085851682345121e-02,5.033580878232579714e-02
5.094185779293970429e-01,1.497040092642407394e-01,8.026800668496117397e-02,-1.859897133101322958e-02,5.095883587707428219e-02
5.047116138617192549e-01,1.499259840548597400e-01,7.951288952137658406e-02,-1.861632704610613129e-02,5.160770041334403202e-02
5.000000000000000000e-01,1.499999999999999944e-01,7.874288651231857450e-02,-1.865389288223141123e-02,5.239206323470148308e-02
4.952883861382807451e-01,1.499259840548597400e-01,7.796316208305158202e-02,-1.862509400423649139e-02,5.311166567112444309e-02
4.905814220706030127e-01,1.497040092642407394e-01,7.717294393527630858e-02,-1.854405183367379903e-02,5.371878189088571953e-02
4.858837530022228623e-01,1.493342946904619994e-01,7.637080925176820134e-02,-1.850852533767205835e-02,5.439210641896131959e-02
4.812000149653543613e-01,1.488172051971716758e-01,7.556473552184088394e-02,-1.847795439768194076e-02,5.505589166363906301e-02
4.765348302439653683e-01,1.481532510892706600e-01,7.475036959093370181e-02,-1.834684870948483093e-02,5.559188761654484945e-02
4.718928028121412988e-01,1.473430876093033137e-01,7.393569956237262819e-02,-1.817254996863498090e-02,5.617906303640485266e-02
4.672785137905186570e-01,1.463875142908121207e-01,7.311628997300656518e-02,-1.801505283472858154e-02,5.683910354615222260e-02
4.626965169252717502e-01,1.452874741692946614e-01,7.229126277993967731e-02,-1.786870426095365019e-02,5.741976886147760750e-02
4.581513340941156254e-01,1.440440528515414542e-01,7.146819397218560910e-02,-1.769458689217651842e-02,5.795830364640913029e-02
4.536474508437579045e-01,1.426584774442730408e-01,7.064647543746545300e-02,-1.750191604549831970e-02,5.848494480286438313e-02
4.491893119632062725e-01,1.411321153431338016e-01,6.982967456459908406e-02,-1.724832002966640923e-02,5.897246190395957072e-02
4.447813170972983454e-01,1.394664728832377132e-01,6.901563762780808797e-02,-1.698296010804102932e-02,5.948255467821989689e-02
4.404278164047829014e-01,1.376631938525971766e-01,6.820926975150440330e-02,-1.671599535368285122e-02,6.002473809625315931e-02
4.361331062652391011e-01,1.357240578699029088e-01,6.740333103596100883e-02,-1.641810456943305907e-02,6.043939875806394330e-02
4.319014250390679766e-01,1.336509786282551737e-01,6.661571016727108052e-02,-1.607504627318153897e-02,6.081777221925194904e-02
4.277369488847426737e-01,1.314460020065795209e-01,6.583478378242919871e-02,-1.581637647361254853e-02,6.128032264662951201e-02
4.236437876374443134e-01,1.291113040505915410e-01,6.506279843374573879e-02,-1.551469158065241043e-02,6.171993170815891216e-02
4.196259807531504959e-01,1.266491888253022391e-01,6.430474683489166565e-02,-1.509504171354491067e-02,6.201915552314964802e-02
4.156874933221804125e-01,1.240620861411842468e-01,6.355875198944611892e-02,-1.479919925260687018e-02,6.242864107769303950e-02
4.118322121561290294e-01,1.213525491562421066e-01,6.282752264871330206e-02,-1.454524372105869996e-02,6.287410013676909826e-02
4.080639419520535327e-01,1.185232518563535398e-01,6.211328053439626323e-02,-1.412677089301569988e-02,6.316842806433217716e-02
4.043864015376965604e-01,1.155769864163683769e-01,6.141642863881908304e-02,-1.367575556512238069e-02,6.343251356964281495e-02
4.008032202014522594e-01,1.125166604445689278e-01,6.073289469079253683e-02,-1.336618124048758946e-02,6.380873289501773349e-02
3.973179341106967133e-01,1.093452941132117134e-01,6.007011839945355230e-02,-1.297633681962936068e-02,6.413112838735457455e-02
3.939339828220178585e-01,1.060660171779821276e-01,5.942544985045936784e-02,-1.253787093871319008e-02,6.441421028565751106e-02
3.906547058867883004e-01,1.026820658893033283e-01,5.880138269965064918e-02,-1.210897281416340940e-02,6.467217043087428174e-02
3.874833395554310722e-01,9.919677979854776839e-02,5.819668558180132040e-02,-1.168215561170827047e-02,6.492041329655014181e-02
3.844230135836316231e-01,9.561359846230348125e-02,5.761389037535152857e-02,-1.136149786812567022e-02,6.518927752692198208e-02
3.814767481436464602e-01,9.193605804794645342e-02,5.705181495670028080e-02,-1.100622078885758054e-02,6.544987177933561662e-02
3.786474508437578934e-01,8.816778784387098444e-02,5.651139794837650027e-02,-1.058425566781215008e-02,6.569339590717039601e-02
3.759379138588157532e-01,8.431250667781961528e-02,5.599839193251673203e-02,-1.002545739812263012e-02,6.587219261938866144e-02
3.733508111746978164e-01,8.037401924684954568e-02,5.550529398163397965e-02,-9.468622123815873676e-03,6.607093547857983973e-02
3.708886959494084312e-01,7.635621236255565880e-02,5.503908509652911257e-02,-9.030962474906839565e-03,6.624033762005712700e-02
3.685539979934204791e-01,7.226305111525728464e-02,5.459304006132442710e-02,-8.583552276204576073e-03,6.638129174395562826e-02
3.663490213717448540e-01,6.809857496093202345e-02,5.417494422646763202e-02,-8.135436114441009850e-03,6.659784038221772118e-02
3.642759421300970635e-01,6.386689373476092668e-02,5.378032763696768276e-02,-7.656272605364979056e-03,6.677781307929846200e-02
3.623368061474028790e-01,5.957218359521715412e-02,5.341354002606456264e-02,-7.113828249401589650e-03,6.689606669227488034e-02
3.605335271167623423e-01,5.521868290270171703e-02,5.307204573158991190e-02,-6.570663783483729307e-03,6.700418224624632435e-02
3.588678846568661984e-01,5.081068803679369278e-02,5.275604407317816685e-02,-6.070661835210039783e-03,6.717915082014611072e-02
3.573415225557269870e-01,4.635254915624212324e-02,5.246583920923889727e-02,-5.553604561510739127e-03,6.734548123171646417e-02
3.559559471484585735e-01,4.184866590588443014e-02,5.220352980533206344e-02,-5.003919392415944259e-03,6.746311508802990686e-02
3.547125258307053386e-01,3.730348307472828445e-02,5.196681805852711861e-02,-4.452677664937275751e-03,6.754320450889218785e-02
3.536124857091879070e-01,3.272148620948141240e-02,5.175911465817172735e-02,-3.894072538991267141e-03,6.770171882097818228e-02
3.526569123906966863e-01,2.810719718785868390e-02,5.157900021024607040e-02,-3.376077136327515146e-03,6.775608621756615269e-02
3.518467489107293678e-01,2.346516975603464561e-02,5.142376984148196162e-02,-2.796187705984248817e-03,6.776186088576753586e-02
3.511827948028283242e-01,1.879998503464568038e-02,5.130001796990559665e-02,-2.193943841830958957e-03,6.779485190500886271e-02
3.506657053095380006e-01,1.411624699777715153e-02,5.120310251875682256e-02,-1.630876991849223049e-03,6.784079688200775338e-02
3.502959907357592328e-01,9.418577929397037654e-03,5.113408459979749271e-02,-1.088330287667711900e-03,6.790972442667994602e-02
3.500740159451402600e-01,4.711613861719234943e-03,5.109105590132188845e-02,-5.466211898723578096e-04,6.794703367430791896e-02
3.499999999999999778e-01,1.836970198721029749e-17,5.107874258673961165e-02,-2.532352244193790208e-06,6.795660054616199652e-02
3.500740159451402600e-01,-4.711613861719198514e-03,5.109223204272383273e-02,5.484103024523560637e-04,6.794048226922341782e-02
3.502959907357592328e-01,-9.418577929397001225e-03,5.113401130945999240e-02,1.159578633027698921e-03,6.789657029254178577e-02
3.506657053095380006e-01,-1.411624699777711510e-02,5.120340330293952219e-02,1.760711572613809107e-03,6.785779856204296467e-02
3.511827948028283242e-01,-1.879998503464564222e-02,5.130428314143339191e-02,2.322704394575484787e-03,6.783226418986042228e-02
3.518467489107293122e-01,-2.346516975603460745e-02,5.142554407565948227e-02,2.850815007179569906e-03,6.775823468078341627e-02
3.526569123906967418e-01,-2.810719718785871513e-02,5.158276766508113759e-02,3.389250635500876217e-03,6.767800709005961091e-02
3.536124857091879070e-01,-3.272148620948137770e-02,5.176204960728191667e-02,3.926352958132712200e-03,6.757718744789589782e-02
3.547125258307053386e-01,-3.730348307472818731e-02,5.196962399197203181e-02,4.477924554120807712e-03,6.748074316424206021e-02
3.559559471484585180e-01,-4.184866590588433299e-02,5.220603079783135703e-02,4.991266069690074303e-03,6.737308173636022413e-02
3.573415225557269315e-01,-4.635254915624208855e-02,5.246576570035631909e-02,5.554950729400889853e-03,6.732205003248087349e-02
3.588678846568661984e-01,-5.081068803679372053e-02,5.275853564676159096e-02,6.066496416242167684e-03,6.722491810495064002e-02
3.605335271167622868e-01,-5.521868290270168927e-02,5.307166459414069254e-02,6.526519120857970924e-03,6.707263208623635842e-02
3.623368061474028234e-01,-5.957218359521705697e-02,5.341415430831358141e-02,7.038801765617143380e-03,6.693859086435811900e-02
3.642759421300970635e-01,-6.386689373476084342e-02,5.377990209968457752e-02,7.570248510840801859e-03,6.680517338081363998e-02
3.663490213717448540e-01,-6.809857496093206508e-02,5.417483391016177791e-02,8.075871739066592739e-03,6.662794302000066282e-02
3.685539979934204791e-01,-7.226305111525729852e-02,5.459278286362889698e-02,8.581304653013335781e-03,6.645379615204011214e-02
3.708886959494084312e-01,-7.635621236255567268e-02,5.503662790414930173e-02,9.063882779880443746e-03,6.627022998846474056e-02
3.733508111746977054e-01,-8.037401924684946242e-02,5.550534468088091922e-02,9.514516096225684311e-03,6.604667263962682444e-02
3.759379138588156977e-01,-8.431250667781953201e-02,5.599796668856994036e-02,9.967214285221084880e-03,6.582518410950419230e-02
3.786474508437578379e-01,-8.816778784387090118e-02,5.651086659417733221e-02,1.044576325033933981e-02,6.564052517471415105e-02
3.814767481436464602e-01,-9.193605804794648118e-02,5.705027630759428731e-02,1.092425281646944996e-02,6.541786660647345986e-02
3.844230135836316231e-01,-9.561359846230343962e-02,5.761151209005672957e-02,1.133842440661901943e-02,6.517026619488253125e-02
3.874833395554310167e-01,-9.919677979854775451e-02,5.819357922358318197e-02,1.174922875834360017e-02,6.490140770960314831e-02
3.906547058867881894e-01,-1.026820658893032590e-01,5.879601890585935825e-02,1.224921652926412065e-02,6.467599094221877787e-02
3.939339828220178030e-01,-1.060660171779820721e-01,5.942375225076339251e-02,1.272589744288426042e-02,6.444219780834670175e-02
3.973179341106967133e-01,-1.093452941132117273e-01,6.006845917363073939e-02,1.292192462285981017e-02,6.408987445811251127e-02
4.008032202014522039e-01,-1.125166604445689139e-01,6.073128969037044217e-02,1.330061729276399950e-02,6.382978633568446580e-02
4.043864015376965604e-01,-1.155769864163684046e-01,6.141384401148072825e-02,1.370788544375721972e-02,6.356853626995484507e-02
4.080639419520535327e-01,-1.185232518563535536e-01,6.211512844567969316e-02,1.402982392741690919e-02,6.315991825960302897e-02
4.118322121561290294e-01,-1.213525491562420927e-01,6.282554643875336298e-02,1.443717039978482074e-02,6.282523603806131063e-02
4.156874933221803570e-01,-1.240620861411842329e-01,6.356040647349760209e-02,1.482096310119413070e-02,6.249258353076923844e-02
4.196259807531505515e-01,-1.266491888253022946e-01,6.430444106091164069e-02,1.515587766084725008e-02,6.208486605381949991e-02
4.236437876374443690e-01,-1.291113040505915688e-01,6.506164502859168586e-02,1.549905248264273928e-02,6.172958008038381683e-02
4.277369488847427292e-01,-1.314460020065795209e-01,6.583368889863186468e-02,1.581630674307327872e-02,6.133468673651550074e-02
4.319014250390679766e-01,-1.336509786282551737e-01,6.661598262826538830e-02,1.609130951501765855e-02,6.085319569491422220e-02
4.361331062652391566e-01,-1.357240578699029643e-01,6.740731282215445264e-02,1.633374363096667947e-02,6.038672968161833132e-02
4.404278164047829569e-01,-1.376631938525971766e-01,6.820518726051055802e-02,1.659818445395656872e-02,5.986150319865460312e-02
4.447813170972983454e-01,-1.394664728832377132e-01,6.901379985188196842e-02,1.686817599737792939e-02,5.939746205453746292e-02
4.491893119632062725e-01,-1.411321153431338016e-01,6.982693202788455011e-02,1.708747419663211864e-02,5.895552541738022234e-02
4.536474508437578490e-01,-1.426584774442730130e-01,7.063864229745721313e-02,1.734290193327739024e-02,5.853903235787118187e-02
4.581513340941155699e-01,-1.440440528515414265e-01,7.146399039340241288e-02,1.759641827114664936e-02,5.808603990113375692e-02
4.626965169252718058e-01,-1.452874741692946614e-01,7.228935906682666668e-02,1.773387306125066148e-02,5.746223407071999328e-02
4.672785137905186570e-01,-1.463875142908121207e-01,7.311277991113566965e-02,1.788985094158214093e-02,5.675234059484370736e-02
4.718928028121412988e-01,-1.473430876093033137e-01,7.392954348235096507e-02,1.799445382538828950e-02,5.619549548822309198e-02
4.765348302439653683e-01,-1.481532510892706322e-01,7.475040261870037617e-02,1.824698237087193919e-02,5.566607198432727693e-02
4.812000149653543057e-01,-1.488172051971716481e-01,7.556008033461257545e-02,1.844135348513563019e-02,5.505414733367115093e-02
4.858837530022229179e-01,-1.493342946904619994e-01,7.637044627705527611e-02,1.861270884412312074e-02,5.439255585993978126e-02
4.905814220706030127e-01,-1.497040092642407394e-01,7.716885262882519636e-02,1.865154299487693096e-02,5.376015459302838084e-02
4.952883861382807451e-01,-1.499259840548597400e-01,7.796395182276409652e-02,1.870244521791286987e-02,5.308436371173041318e-02
5.000000000000000000e-01,-1.499999999999999944e-01,7.874230707021886988e-02,1.862018826460311999e-02,5.237866477019210293e-02
5.047116138617191439e-01,-1.499259840548597400e-01,7.951084794583318516e-02,1.858122545768842865e-02,5.174868953172762076e-02
5.094185779293969318e-01,-1.497040092642407394e-01,8.027074467392900092e-02,1.858230077162819141e-02,5.111512133866515789e-02
5.141162469977771377e-01,-1.493342946904619994e-01,8.101149688172715191e-02,1.856548498709250858e-02,5.039035231836622164e-02
5.187999850346456387e-01,-1.488172051971716758e-01,8.174252775083985789e-02,1.841202516975376166e-02,4.965129106260866843e-02
5.234651697560346317e-01,-1.481532510892706600e-01,8.245800119163060327e-02,1.822756905666211152e-02,4.893630262826351163e-02
5.281071971878585902e-01,-1.473430876093033137e-01,8.315608322019132914e-02,1.806237198418984141e-02,4.818410871190632189e-02
5.327214862094813430e-01,-1.463875142908121207e-01,8.383159679801369113e-02,1.791054072191596014e-02,4.748023182688357324e-02
5.373034830747281942e-01,-1.452874741692946614e-01,8.449323935644419137e-02,1.767670383209945031e-02,4.695189112994106045e-02
5.418486659058844301e-01,-1.440440528515414542e-01,8.513880853986707797e-02,1.738358296918711063e-02,4.625606659763333711e-02
5.463525491562420955e-01,-1.426584774442730408e-01,8.576299298671724580e-02,1.702521223911195036e-02,4.556830809483455175e-02
5.508106880367936720e-01,-1.411321153431338293e-01,8.637041374565823659e-02,1.667236113028717007e-02,4.491223377407207312e-02
5.552186829027015991e-01,-1.394664728832377409e-01,8.696031552201372028e-02,1.646541741870884840e-02,4.426000226136619226e-02
5.595721835952169876e-01,-1.376631938525972043e-01,8.752225865344678835e-02,1.611584725658991163e-02,4.374748459215022089e-02
5.638668937347607324e-01,-1.357240578699029920e-01,8.807356650133174591e-02,1.569769852167961915e-02,4.326865472679237296e-02
5.680985749609318569e-01,-1.336509786282552570e-01,8.860954565402122396e-02,1.530849839472782012e-02,4.270832616990209024e-02
5.722630511152573263e-01,-1.314460020065794932e-01,8.912564996099289760e-02,1.493342771087233060e-02,4.203354879598145827e-02
5.763562123625557421e-01,-1.291113040505915133e-01,8.961448518483444703e-02,1.453765545233012997e-02,4.148717064262134879e-02
5.803740192468495041e-01,-1.266491888253022391e-01,9.008533419209124871e-02,1.403364332394388923e-02,4.108812538231154665e-02
5.843125066778196430e-01,-1.240620861411842746e-01,9.055133446161597877e-02,1.355985229081444962e-02,4.062991490879693662e-02
5.881677878438709151e-01,-1.213525491562421343e-01,9.098629764858012781e-02,1.315697652277442002e-02,4.015645791328791014e-02
5.919360580479464673e-01,-1.185232518563535953e-01,9.141058882550885667e-02,1.267650814087916029e-02,3.971882303997677222e-02
5.956135984623034396e-01,-1.155769864163684324e-01,9.181534672933672203e-02,1.220710352356380035e-02,3.926665178926073280e-02
5.991967797985476851e-01,-1.125166604445689972e-01,9.219779169762860882e-02,1.179921763695306047e-02,3.892138512297903252e-02
6.026820658893031757e-01,-1.093452941132118106e-01,9.257169255871997016e-02,1.140241096122251996e-02,3.850940617387325210e-02
6.060660171779820304e-01,-1.060660171779822525e-01,9.292335618922208107e-02,1.094448086722204019e-02,3.818183101282242309e-02
6.093452941132116996e-01,-1.026820658893033422e-01,9.326632694890285569e-02,1.046726403401553041e-02,3.798447821136184677e-02
6.125166604445689833e-01,-9.919677979854774064e-02,9.358644926280193510e-02,9.986077964261267509e-03,3.759338217196282750e-02
6.155769864163683769e-01,-9.561359846230343962e-02,9.389615507840538833e-02,9.554551520168104439e-03,3.728455897072811831e-02
6.185232518563534843e-01,-9.193605804794646730e-02,9.418848815878180791e-02,9.093113536634604699e-03,3.703205583265827688e-02
6.213525491562420511e-01,-8.816778784387099832e-02,9.446247313955699609e-02,8.586736648726753934e-03,3.678846924668945778e-02
6.240620861411841913e-01,-8.431250667781962915e-02,9.472574762235469459e-02,8.140414333012215356e-03,3.652015399965832798e-02
6.266491888253021836e-01,-8.037401924684955956e-02,9.497115904179639911e-02,7.698972693698659386e-03,3.627832141401528265e-02
6.291113040505914578e-01,-7.635621236255579758e-02,9.520652049880476420e-02,7.231697128435403410e-03,3.608719354066153295e-02
6.314460020065795209e-01,-7.226305111525740954e-02,9.542578164743086011e-02,6.783026197571559099e-03,3.594078085942627870e-02
6.336509786282551460e-01,-6.809857496093203733e-02,9.562943518824272571e-02,6.338579384147381007e-03,3.578079612994838204e-02
6.357240578699029365e-01,-6.386689373476094056e-02,9.582078309132177618e-02,5.902795842530415837e-03,3.558737495965842712e-02
6.376631938525971766e-01,-5.957218359521705003e-02,9.600002583640485088e-02,5.472814844086590011e-03,3.544227809115686051e-02
6.394664728832377687e-01,-5.521868290270167540e-02,9.616264974406453503e-02,5.044121182255141903e-03,3.531218686903293824e-02
6.411321153431337461e-01,-5.081068803679371360e-02,9.631372109940843085e-02,4.628205897072526324e-03,3.522402269695697197e-02
6.426584774442729575e-01,-4.635254915624215100e-02,9.645191195239267989e-02,4.223971274901670847e-03,3.510131172619976314e-02
6.440440528515414265e-01,-4.184866590588445096e-02,9.657503974033876393e-02,3.811411218644904925e-03,3.496211269766188318e-02
6.452874741692946614e-01,-3.730348307472829833e-02,9.668270047612215201e-02,3.351958937758462830e-03,3.483083519935997741e-02
6.463875142908120930e-01,-3.272148620948149567e-02,9.677993183858993320e-02,2.893798132532000075e-03,3.477560956765807926e-02
6.473430876093033692e-01,-2.810719718785870125e-02,9.686626088774760723e-02,2.420727586760282844e-03,3.469963811605494830e-02
6.481532510892706878e-01,-2.346516975603466296e-02,9.693747404027792947e-02,2.015287697258909185e-03,3.465086157120848831e-02
6.488172051971716758e-01,-1.879998503464569773e-02,9.699538009033033259e-02,1.661023910034151087e-03,3.459067483653815306e-02
6.493342946904619994e-01,-1.411624699777723480e-02,9.704241000499147507e-02,1.270371618641362053e-03,3.453672468668909923e-02
6.497040092642407672e-01,-9.418577929396989082e-03,9.707530333756833607e-02,8.574088360828726815e-04,3.451828748896137306e-02
6.499259840548596845e-01,-4.711613861719254025e-03,9.709013169381219832e-02,4.075159181616484945e-04,3.452707110190259693e-02
